Waypoint,Site,Zone,Time,avg_salinity,avg_temp_in
1,W,Transition,Day,31.114480645,24.577361510000003
1,W,Transition,Night,33.004731765,23.766530205000002
2,W,Transition,Day,32.554253415000005,24.367498425
2,W,Transition,Night,33.577168895,23.43664546
3,W,Transition,Day,31.39795239,23.983440285
3,W,Transition,Night,33.70550029,23.450386965
4,W,Transition,Day,33.651003395000004,24.95131546
4,W,Transition,Night,34.362759194999995,23.66030052
5,W,Diffuse,Day,31.832169575000002,24.23810091
5,W,Diffuse,Night,33.324022035,23.649878785
6,W,Diffuse,Day,34.277058435,24.723384435
6,W,Diffuse,Night,34.397039495,23.81820097
7,W,Diffuse,Day,33.36621318,24.632572144999997
7,W,Diffuse,Night,34.483179750000005,23.680570245
8,W,Diffuse,Day,34.09554862,24.877780504999997
8,W,Diffuse,Night,34.4486797,23.698403585
9,W,Diffuse,Day,33.62133775,24.958671525
9,W,Diffuse,Night,34.526909114999995,24.27675182
10,W,Diffuse,Day,34.4559313,24.6794999
10,W,Diffuse,Night,34.53767664,23.89032816
11,W,Diffuse,Day,34.387150950000006,24.679274165
11,W,Diffuse,Night,34.538995119999996,23.829402795
12,W,Diffuse,Day,34.273542504999995,24.778527335
12,W,Diffuse,Night,34.536577915,23.76390319
13,W,Ambient,Day,34.588437865,24.909432175
13,W,Ambient,Night,34.59964488,24.143109895000002
14,W,Ambient,Day,34.58997608,24.79217386
14,W,Ambient,Night,34.60777547,24.084555645000002
15,W,Ambient,Day,34.579428295,24.70027005
15,W,Ambient,Night,34.607555725,23.989034574999998
16,W,Ambient,Day,34.53394097,24.725454515000003
16,W,Ambient,Night,34.6011831,23.89699277
17,W,Ambient,Day,34.603820049999996,24.881831215
17,W,Ambient,Night,34.5939315,24.095405645
18,W,Ambient,Day,34.595030225,24.943500110000002
18,W,Ambient,Night,34.61414809,24.275373445
19,W,Ambient,Day,34.609533435,25.251726885
19,W,Ambient,Night,34.61414809,24.525547930000002
20,W,Ambient,Day,34.603820049999996,25.559953655
20,W,Ambient,Night,34.60865445,24.775722414999997
21,BP,Ambient,Day,34.642712,25.247399435
21,BP,Ambient,Night,34.64229483,24.220350965
22,BP,Diffuse,Day,34.21427833,24.928000235
22,BP,Diffuse,Night,34.48627322,23.795060155
23,BP,Transition,Day,32.807580814999994,25.465456635
23,BP,Transition,Night,33.135059335,24.364235885
24,BP,Transition,Day,32.04979137,25.402093065
24,BP,Transition,Night,33.281486029999996,24.21758751
25,BP,Ambient,Day,34.648969550000004,25.294110420000003
25,BP,Ambient,Night,34.654392765,24.280109494999998
26,BP,Diffuse,Day,34.58013649,26.0501276
26,BP,Diffuse,Night,34.346938415,24.167715075
27,BP,Transition,Day,33.067477780000004,25.36195342
27,BP,Transition,Night,33.42144659,24.20794573
28,BP,Transition,Day,31.679761505,25.10948621
28,BP,Transition,Night,33.525947695,23.846532865
29,BP,Ambient,Day,34.656478615,25.079746295
29,BP,Ambient,Night,34.66607353,24.33583742
30,BP,Diffuse,Day,33.56265866,25.29078678
30,BP,Diffuse,Night,33.467126715,24.085794120000003
31,BP,Diffuse,Day,33.947498065000005,25.52226353
31,BP,Diffuse,Night,33.81692383,24.20837381
32,BP,Diffuse,Day,34.248069105,25.49766516
32,BP,Diffuse,Night,33.88825991,23.954401475
33,BP,Ambient,Day,34.66273617,24.64398819
33,BP,Ambient,Night,34.653141255,24.10933894
34,BP,Diffuse,Day,34.25849836,25.88621737
34,BP,Diffuse,Night,33.881376605,24.065258305
35,BP,Diffuse,Day,34.36216512,25.07328315
35,BP,Diffuse,Night,34.33546624,24.04472249
36,BP,Diffuse,Day,34.08578994,26.22549947
36,BP,Diffuse,Night,34.403256375,23.94711006
37,BP,Ambient,Day,34.65460135,25.200688445
37,BP,Ambient,Night,34.651055400000004,24.16059243
38,BP,Diffuse,Day,34.60308084,25.93392292
38,BP,Diffuse,Night,34.45394254,23.68312042
39,BP,Diffuse,Day,34.08620711,25.99096602
39,BP,Diffuse,Night,33.699699034999995,23.96321443
40,BP,Transition,Day,31.514353569999997,25.226034405
40,BP,Transition,Night,33.500291735000005,23.79719439
44,W,Offshore,Day,34.61546656,24.517368475
44,W,Offshore,Night,34.61041242,24.12984958
45,W,Offshore,Day,34.604039795000006,24.517368475
45,W,Offshore,Night,34.58448244,24.12984958
